6267,distante,1203994,16718.668514
6268,picciola,3323352,66710.235464
6269,rami,3764081,50794.386869
6270,l'omo,99067,69734.544365
6271,vegg',3580693,32940.767724
6272,qual,3768176,45511.623779
6273,sanza,1360889,68364.454292
6274,come,749428,63360.331107
6275,lungo,201120,22482.833658
6276,l'avara,4132971,55900.133471
6277,nove,3685975,99493.683937
6278,quando,4679723,51273.145875
6279,senso,3000239, 3264.897789
6280,raggi,1741947,83546.164406
6281,m'accors',2089459,67860.075559
6282,disse:,2134150,97028.391108
6283,Tutti,3421434,14185.699659
6284,profeti,831710,51371.392419
6285,oramai,2009461,89268.406714
